Project Line,Client,Project,client_code,client_suffix,description,Sub-Project,Suffix Range,Suffix Budget,Sub-Project Budget,Project Range,Project Budget,Proj. Budget Ext.,Client Code & Suffix,Project Year,Contract State,Billing Status,Status,Proj. Upd Charges,Proj. Charges,Chrg Offs YTD,Requested Chrg Offs2,Total Chrg Offs,Invoices 2020,Invoices 2021,Invoices 2022,Invoices 2023,Invoices 2024,Invoices 2025,Invoiced,Unbilled
1,ERGO,IFRS17 - P1,0478ERG78,01,Project 1 Project Management,,53-70,70000,---,354-464,464000,488000,0478ERG78-01,,,,,593146.7,629831.56,36684.86,,36684.86,88000,400000,0,0,0,0,488000,0
,ERGO,IFRS17 - P1,0478ERG78,02,Project 1 WS3 - Task-Group: Methodology areas,,58-75,75000,---,,,,0478ERG78-02,,,,,---,---,---,,0,0,0,0,0,0,0,---,---
,ERGO,IFRS17 - P1,0478ERG78,03,Project 1 WS4 Task-Group: Actuarial Models,,226-294,294000,---,,,,0478ERG78-03,,,,,---,---,---,,0,0,0,0,0,0,0,---,---
,ERGO,IFRS17 - P1,0478ERG78,04,Project 1 Project 1 WS4: Group Pensions Model,,17-25,25000,---,,,,0478ERG78-04,,,,,---,---,---,,0,0,0,0,0,0,0,---,---
,ERGO,IFRS17 - P1,0478ERG78,04,Project 1 various extensions/extra budget,,70,70000,---,,,,0478ERG78-04,,,,,---,---,---,,0,0,0,0,0,0,0,---,---
1,ERGO,IFRS17 - P2,0478ERG78,05,Project 2 Project Management,,,,---,108-127,127000,127000,0478ERG78-05,,,,,119608.665,161366.215,41757.55,,41757.55,0,0,50000,20000,0,0,70000,49608.665
,ERGO,IFRS17 - P2,0478ERG78,06,Project 2 Task Group: Enhancements for Tools (RA & TVOG),,,,---,,,,0478ERG78-06,,,,,---,---,---,,0,0,0,0,0,0,0,---,---
,ERGO,IFRS17 - P2,0478ERG78,07,Project 2 Task Group: Set up Locally IFRS library,,,,---,,,,0478ERG78-07,,,,,---,---,---,,0,0,0,0,0,0,0,---,---
,ERGO,IFRS17 - P2,0478ERG78,08,Project 2 Task Group: NonLife Planning/Budget,,,,---,,,,0478ERG78-08,,,,,---,---,---,,0,0,0,0,0,0,0,---,---
1,ERGO,IFRS17 - Local Assistance,0478ERG78,09,Local Assistance Extra Scope,,120-130,130000,---,120-130,130000,200000,0478ERG78-09,,,,,199436.75,205400.33,5963.58,,5963.58,0,95000,105000,0,0,0,200000,-563.25
1,ERGO,Prophet Training,0478ERG78,10,Prophet Training,,13.5,13500,---,13.5,13500,13500,0478ERG78-10,,,,,11243.5875,11243.5875,0,,0,0,13500,0,0,0,0,13500,-2256.4125
1,ERGO,TVOG Re-calc,0478ERG78,11,TVOG Re-calc,TVOG Re-calc,10,35000,35000,35k,35000,10000,0478ERG78-11,"2022, 2023",Signed,Not Billed,Finishished - Nut Paid,21816.9715,23762.7815,1945.81,,1945.81,0,0,10000,0,15000,10000,35000,-13183.0285
1,ERGO,Unbundling / VFA Quantification impact,0478ERG78,12,Unbundling / VFA Quantification impact,,,,---,,50000,,0478ERG78-12,,,,,43669.59,43669.59,0,,0,0,0,0,0,50000,0,50000,-6330.41
,ERGO,Unbundling / VFA Quantification impact,0478ERG78,12--1,Unbundling / VFA Quantification impact,Appendix II - 10_06_2024,15-20,20000,20000,,,,0478ERG78-12--1,,,,,---,---,---,,0,0,0,0,0,0,0,---,---
,ERGO,Unbundling / VFA Quantification impact,0478ERG78,12--2,Unbundling / VFA Quantification impact,Appendix III - 30_06_2024,25-30K,30000,30000,,,,0478ERG78-12--2,,,,,---,---,---,,0,0,0,0,0,0,0,---,---
