Client,client_code,Client Name (for Invoices),Country,VAT_No,Charge_VAT,VAT %,Address,Invoice Template,Unnamed: 9
0.0,0478AST78,,CY,,Y,19,,Template-1,
ATOS,0478ATO78,ATOS,GR,,N,,,Template-2,
Baker Tilly,0478BAK78,Baker Tilly Advisory Services Limited,CY,,Y,19,"Corner C. Hatzopoulou & 30 Griva Digheni Avenue, 1066,  
Nicosia, Cyprus",Template-1,
Cosmoco,0478COS78,CosmoCo Ltd,CY,12243908I,Y,19,"6 Neoptolemou Street  
1087, Nicosia  
Cyprus",Template-1,
ERGO,0478ERG78,ERGO,GR,EL 094256484,N,,"Leof. Andrea Siggrou 173  
Nea Smirni 171 21  
Greece",Template-2,VAT Article 11 of N95(1)/2000 – reverse charge. The recipient must account for VAT 
Ethniki CY,0478ETH30,Ethniki Insurance,CY,10109043? ,Y,19,"7 Ifigenias Street, 
Strovolos, 
2007, Nicosia 
Cyprus",Template-1,
Ethniki Greece,0478ETK30,"ETHNIKI, THE, HELLENIC GENERAL INSURANCE CO. S.A.",GR,,N,,"103-105 Syngrou Avenue 
11745 ATHENS
GREECE",Template-2,
Eurolife Fairfax,0478EUR30,Eurolife Fairfax,GR,,N,,,Template-2,
IAG,0478INT30,IAG,GR,,N,,,Template-2,
Minerva,0478MIN78,Minerva,CY,,Y,19,,Template-1,
Moore,0478MOO78,Moore Limassol Limited,CY,,Y,19,"Ariel Corner, 1st Floor, Office 102 
196 Makarios Avenue, 3030 
Limassol, Cyprus",Template-1,
Prime,0478PRI78,Prime,CY,,Y,19,,Template-1,
Universal,0478UNI78,Universal,CY,,Y,19,,Template-1,
Groupama,0478GRO30,Groupama Phoenix Hellenic Insurance Company SA,GR,EL 094250000,N,2,"Leof. Andrea Siggrou 213-215  
Nea Smirni 171 21  
Greece",Template-2,
