20;Company Admin;Non-Billable - Company Admin;0009COM00;;5/3/2026 13:00
21;Company Admin;Non-Billable - Company Admin;0009COM00;;5/4/2026 13:00
22;Conferences;Non-Billable - Conferences;0009CON00;;5/5/2026 13:00
23;Holiday;Non-Billable - Holiday;0009HOL00;;5/6/2026 13:00
24;Marketing - Initial Client Contact;Non-Billable - Marketing - Initial Client Contact;0009MKI00;;5/7/2026 13:00
25;Marketing - Client Meetings;Non-Billable - Marketing - Client Meetings;0009MKM00;;5/8/2026 13:00
26;Marketing - Proposals/Negs;Non-Billable - Marketing - Proposals/Negs;0009MKN00;;5/9/2026 13:00
27;Marketing - Promotional;Non-Billable - Marketing - Promotional;0009MKP00;;5/10/2026 13:00
28;Miscellaneous;Non-Billable - Miscellaneous;0009MSC01;;5/11/2026 13:00
29;Personal Admin;Non-Billable - Personal Admin;0009PER00;;5/12/2026 13:00
30;Planning;Non-Billable - Planning;0009PLN00;;5/13/2026 13:00
31;Post Release Peer Review Preparation;Non-Billable - Post Release Peer Review Preparation;0009PRP00;;5/14/2026 13:00
32;Public Holiday;Non-Billable - Public Holiday;0009PUB00;;5/15/2026 13:00
33;Research;Non-Billable - Research;0009RES00;;5/16/2026 13:00
34;Sickness;Non-Billable - Sickness;0009SIK00;;5/17/2026 13:00
35;Study Time Allowance;Non-Billable - Study Time Allowance;0009STD01;;5/18/2026 13:00
36;Supervision;Non-Billable - Supervision;0009SUP00;;5/19/2026 13:00
37;Training of Colleagues;Non-Billable - Training of Colleagues;0009TNC00;;5/20/2026 13:00
38;Training & Study;Non-Billable - Training & Study;0009TRN00;;5/21/2026 13:00
