id;project_id;stage;value;notes;updated_at;budget_min;budget_est;budget_max;probability
1;9;Active;0.0;;2026-04-17T17:26:35.682191;0.0;0.0;0.0;0.5
2;16;Active;0.0;;2026-04-17T17:26:35.708712;0.0;0.0;0.0;0.5
3;14;Active;0.0;;2026-04-17T17:26:35.731812;0.0;0.0;0.0;0.5
4;25;Active;0.0;;2026-04-17T17:26:35.750791;0.0;0.0;0.0;0.5
5;1;Active;0.0;;2026-04-17T17:26:35.775356;0.0;0.0;0.0;0.5
6;24;Active;0.0;;2026-04-17T17:26:35.795114;0.0;0.0;0.0;0.5
7;15;Active;0.0;;2026-04-17T17:26:35.817121;0.0;0.0;0.0;0.5
8;10;Active;0.0;;2026-04-17T17:26:35.837589;0.0;0.0;0.0;0.5
9;17;Active;0.0;;2026-04-17T17:26:35.857598;0.0;0.0;0.0;0.5
10;11;Active;0.0;;2026-04-17T17:26:35.878105;0.0;0.0;0.0;0.5
11;12;Active;0.0;;2026-04-17T17:26:35.897693;0.0;0.0;0.0;0.5
12;2;Active;0.0;;2026-04-17T17:26:35.922679;0.0;0.0;0.0;0.5
13;8;Active;0.0;;2026-04-17T17:26:35.943690;0.0;0.0;0.0;0.5
14;3;Active;0.0;;2026-04-17T17:26:35.965784;0.0;0.0;0.0;0.5
15;4;Active;0.0;;2026-04-17T17:26:35.986371;0.0;0.0;0.0;0.5
16;5;Active;0.0;;2026-04-17T17:26:36.004346;0.0;0.0;0.0;0.5
17;26;Active;0.0;;2026-04-17T17:26:36.026456;0.0;0.0;0.0;0.5
18;18;Active;0.0;;2026-04-17T17:26:36.048179;0.0;0.0;0.0;0.5
19;13;Active;0.0;;2026-04-17T17:26:36.072319;0.0;0.0;0.0;0.5
20;19;Active;0.0;;2026-04-17T17:26:36.091329;0.0;0.0;0.0;0.5
21;6;Active;0.0;;2026-04-17T17:26:36.118215;0.0;0.0;0.0;0.5
22;20;Active;0.0;;2026-04-17T17:26:36.138222;0.0;0.0;0.0;0.5
23;23;Active;0.0;;2026-04-17T17:26:36.155743;0.0;0.0;0.0;0.5
24;7;Active;0.0;;2026-04-17T17:26:36.182090;0.0;0.0;0.0;0.5
25;21;Active;0.0;;2026-04-17T17:26:36.209825;0.0;0.0;0.0;0.5
26;22;Active;0.0;;2026-04-17T17:26:36.231456;0.0;0.0;0.0;0.5
79;27;Active;0.0;;2026-04-18T05:54:29.442904;0.0;0.0;0.0;0.5
80;28;Active;0.0;;2026-04-18T05:54:29.463133;0.0;0.0;0.0;0.5
81;29;Active;0.0;;2026-04-18T05:54:29.476140;0.0;0.0;0.0;0.5
103;35;Completed;0.0;;2026-04-19T04:45:30.988544+00:00;0.0;0.0;0.0;0.5
104;48;Completed;0.0;;2026-04-19T04:45:30.998546+00:00;0.0;0.0;0.0;0.5
105;49;Active;0.0;;2026-04-19T04:45:31.013581+00:00;0.0;0.0;0.0;0.5
106;36;Completed;0.0;;2026-04-19T04:45:31.024601+00:00;0.0;0.0;0.0;0.5
107;34;Completed;0.0;;2026-04-19T04:45:31.036113+00:00;0.0;0.0;0.0;0.5
108;33;Completed;0.0;;2026-04-19T04:45:31.048150+00:00;0.0;0.0;0.0;0.5
109;32;Completed;0.0;;2026-04-19T04:45:31.062684+00:00;0.0;0.0;0.0;0.5
110;39;Completed;0.0;;2026-04-19T04:45:31.075685+00:00;0.0;0.0;0.0;0.5
111;37;Completed;0.0;;2026-04-19T04:45:31.087697+00:00;0.0;0.0;0.0;0.5
112;46;Active;0.0;;2026-04-19T04:45:31.105273+00:00;0.0;0.0;0.0;0.5
113;50;Completed;0.0;;2026-04-19T04:45:31.120266+00:00;0.0;0.0;0.0;0.5
114;40;Completed;0.0;;2026-04-19T04:45:31.136276+00:00;0.0;0.0;0.0;0.5
115;31;Active;0.0;;2026-04-19T04:45:31.154315+00:00;0.0;0.0;0.0;0.5
116;51;Active;0.0;;2026-04-19T04:45:31.177014+00:00;0.0;0.0;0.0;0.5
117;42;Completed;0.0;;2026-04-19T04:45:31.190921+00:00;0.0;0.0;0.0;0.5
118;43;Completed;0.0;;2026-04-19T04:45:31.205688+00:00;0.0;0.0;0.0;0.5
119;41;Completed;0.0;;2026-04-19T04:45:31.221577+00:00;0.0;0.0;0.0;0.5
120;47;Active;0.0;;2026-04-19T04:45:31.235519+00:00;0.0;0.0;0.0;0.5
121;38;Completed;0.0;;2026-04-19T04:45:31.248540+00:00;0.0;0.0;0.0;0.5
122;30;Active;0.0;;2026-04-19T04:45:31.261686+00:00;0.0;0.0;0.0;0.5
123;44;Completed;0.0;;2026-04-19T04:45:31.272683+00:00;0.0;0.0;0.0;0.5
124;45;Active;0.0;;2026-04-19T04:45:31.286799+00:00;0.0;0.0;0.0;0.5
