id;project_id;client_code;client_suffix;name;description;budget_amount;status;created_at
1;15;0478EUR30;07;test client suffix code;;0.0;Active;2026-04-18 18:13:16
2;4;0478ERG78;01;IFRS17 - P1;Project 1 Project Management;70000.0;Active;2026-04-18 19:22:21
3;4;0478ERG78;02;IFRS17 - P1;Project 1 WS3 - Task-Group: Methodology areas;75000.0;Active;2026-04-18 19:22:21
4;4;0478ERG78;03;IFRS17 - P1;Project 1 WS4 Task-Group: Actuarial Models;294000.0;Active;2026-04-18 19:22:21
5;4;0478ERG78;04;IFRS17 - P1;Project 1 Project 1 WS4: Group Pensions Model;25000.0;Active;2026-04-18 19:22:21
6;5;0478ERG78;05;IFRS17 - P2;Project 2 Project Management;0.0;Active;2026-04-18 19:22:21
7;5;0478ERG78;06;IFRS17 - P2;Project 2 Task Group: Enhancements for Tools (RA & TVOG);0.0;Active;2026-04-18 19:22:21
8;5;0478ERG78;07;IFRS17 - P2;Project 2 Task Group: Set up Locally IFRS library;0.0;Active;2026-04-18 19:22:21
9;5;0478ERG78;08;IFRS17 - P2;Project 2 Task Group: NonLife Planning/Budget;0.0;Active;2026-04-18 19:22:21
10;3;0478ERG78;09;IFRS17 - Local Assistance;Local Assistance Extra Scope;130000.0;Active;2026-04-18 19:22:21
11;6;0478ERG78;10;Prophet Training;Prophet Training;13500.0;Active;2026-04-18 19:22:21
12;7;0478ERG78;11;TVOG Re-calc;TVOG Re-calc;35000.0;Completed;2026-04-18 19:22:21
13;30;0478ERG78;12;Unbundling / VFA Quantification impact;Unbundling / VFA Quantification impact;0.0;Active;2026-04-18 19:22:21
14;30;0478ERG78;12--1;Unbundling / VFA Quantification impact;Unbundling / VFA Quantification impact;20000.0;Active;2026-04-18 19:22:21
15;30;0478ERG78;12--2;Unbundling / VFA Quantification impact;Unbundling / VFA Quantification impact;30000.0;Active;2026-04-18 19:22:21
16;31;0478ERG78;13;Project UL;Proj_UL: WS1 - Modelling of UL products and riders;80000.0;Active;2026-04-18 19:22:21
17;31;0478ERG78;14;Project UL;Proj_UL: WS2 - Integration into IFRS17 workspace;0.0;Active;2026-04-18 19:22:21
18;31;0478ERG78;15;Project UL;Proj_UL: WS3 - Documentation and training;0.0;Active;2026-04-18 19:22:21
19;31;0478ERG78;16;Project UL;Proj_UL: WS4 – VFA IFRS17 Calculations;0.0;Active;2026-04-18 19:22:21
20;31;0478ERG78;17;Project UL;Proj_UL: PMO;0.0;Active;2026-04-18 19:22:21
21;32;0478INT30;02;IFRS17 - Main;Assumptions / Methodology;0.0;Completed;2026-04-18 19:22:21
22;32;0478INT30;03;IFRS17 - Main;Project Management;0.0;Completed;2026-04-18 19:22:21
23;32;0478INT30;05;IFRS17 - Main;WS1 Methodology and documentation;25000.0;Completed;2026-04-18 19:22:21
24;32;0478INT30;06;IFRS17 - Main;WS2 Actuarial;250000.0;Completed;2026-04-18 19:22:21
25;33;0478INT30;09;IFRS17 - Additional;Prophet additional scope 1 (OMC, NLST riders, pensioners);22500.0;Completed;2026-04-18 19:22:21
26;33;0478INT30;10;IFRS17 - Additional;Prophet additional scope 2 (Embedded Derivative);28000.0;Completed;2026-04-18 19:22:21
27;32;0478INT30;04;IFRS17 - Main;WS0;15000.0;Completed;2026-04-18 19:22:21
28;32;0478INT30;12;IFRS17 - Main;Prophet additional scope 3 (pensions and health riders);35000.0;Completed;2026-04-18 19:22:21
29;32;0478INT30;07;IFRS17 - Main;WS2 Assumptions, model build and enhancements;50000.0;Completed;2026-04-18 19:22:21
30;32;0478INT30;08;IFRS17 - Main;WS3-4 Prophet;100000.0;Completed;2026-04-18 19:22:21
31;34;0478INT30;11;HIA;HIA-2020 (EIOPA Holistic Impact Assessment 2020) assistance;0.0;Completed;2026-04-18 19:22:21
32;35;0478INT30;13;AFH Review;AFH_Review_2020;10000.0;Completed;2026-04-18 19:22:21
33;22;0478INT30;14;Turbo ALM - License;;7500.0;Active;2026-04-18 19:22:21
34;19;0478INT30;21;Methodology;IFRS17 - Methodology Budget;100000.0;Active;2026-04-18 19:22:21
35;36;0478INT30;15;Fair Value - IFRS17;Fair value approach (Life);15300.0;Completed;2026-04-18 19:22:21
36;16;0478INT30;16;Appendix I-II;NL-specific appendix I scope;0.0;Completed;2026-04-18 19:22:21
37;16;0478INT30;17;Appendix I-II;NL-specific appendix II scope;49600.0;Active;2026-04-18 19:22:21
38;16;0478INT30;17--1;Appendix I-II;PAA eligibility assessment for Non-Life;0.0;Completed;2026-04-18 19:22:21
39;16;0478INT30;17--2;Appendix I-II;Preparation of Reinsurance assumptions to feed modelling (Non-Life);0.0;Completed;2026-04-18 19:22:21
40;16;0478INT30;17--3;Appendix I-II;Validation on variables input for EPL (Non-Life);0.0;Completed;2026-04-18 19:22:21
41;16;0478INT30;17--4;Appendix I-II;Treatment of DAC (PAA expense option taken/not taken) (Non-Life);0.0;Completed;2026-04-18 19:22:21
42;37;0478INT30;18;IFRS17 Life – WoP Claims;IFRS17 Life – WoP Claims;10800.0;Completed;2026-04-18 19:22:21
43;18;0478INT30;19;IFRS17 VFA Eligibility;IFRS17 VFA Eligibility;15300.0;Completed;2026-04-18 19:22:21
44;21;0478INT30;24;Treatment of policyholders’ loans under IFRS17;Treatment of policyholders’ loans under IFRS17;10800.0;Completed;2026-04-18 19:22:21
45;20;0478INT30;25;Reinsurance - Life;Reinsurance - Life;15300.0;On Hold;2026-04-18 19:22:21
46;38;0478INT30;20;UAT;IFRS17- User Acceptance Tests;85000.0;Completed;2026-04-18 19:22:21
47;39;0478INT30;22;IFRS17 Documentation;IFRS17 Documentation Project - Life;82500.0;Completed;2026-04-18 19:22:21
48;39;0478INT30;23;IFRS17 Documentation;IFRS17 Documentation Project - Non-Life;27500.0;Completed;2026-04-18 19:22:21
49;40;0478EUR30;03;ORSA;ORSA;0.0;Completed;2026-04-18 19:22:21
50;41;0478EUR30;06;TIPP product;Market consistent scenario solution for valuation of TIPP product;0.0;Completed;2026-04-18 19:22:21
51;15;0478EUR30;04;ESG;ESG;0.0;Active;2026-04-18 19:22:21
52;43;0478EUR30;08;SoW_2022-06 Fair Value - IFRS17;Fair Value - IFRS17;30000.0;Completed;2026-04-18 19:22:21
53;44;0478ETK30;01;Validation TP_Assumptions  2023;PMO;10000.0;Completed;2026-04-18 19:22:21
54;44;0478ETK30;02;Validation TP_Assumptions  2023;Technical Provisions validations;55000.0;Active;2026-04-18 19:22:21
55;44;0478ETK30;03;Validation TP_Assumptions  2023;Assumptions validations;55000.0;Active;2026-04-18 19:22:21
56;45;0478ETK30;04;Validation TP_Assumptions  2024;Medical Inflation;25000.0;Active;2026-04-18 19:22:21
57;45;0478ETK30;05;Validation TP_Assumptions  2024;ALM & TVoG;25000.0;Active;2026-04-18 19:22:21
58;2;0478COS78;01;Hydra Review Support;(blank);0.0;Active;2026-04-18 19:22:21
59;13;0478ETH30;06;Market Risk Calcs;SII support;6000.0;Active;2026-04-18 19:22:21
60;9;0478ETH30;09;Additional Tasks;Non standard requests - bill separately;0.0;Active;2026-04-18 19:22:21
61;10;0478ETH30;08;Economic Scenarios;Economic Scenarios;5000.0;Active;2026-04-18 19:22:21
62;46;0478ETH30;10;IFRS17 TRN, Valuations, Disclosures;PMO;0.0;Active;2026-04-18 19:22:21
63;46;0478ETH30;11;IFRS17 TRN, Valuations, Disclosures;IFRS17 TRN, Valuations, Disclosures;0.0;Completed;2026-04-18 19:22:21
64;46;0478ETH30;11- 04_10_2024;IFRS17 TRN, Valuations, Disclosures;IFRS17 TRN, Valuations, Disclosures;55000.0;Completed;2026-04-18 19:22:21
65;46;0478ETH30;11- 01_03_2024;IFRS17 TRN, Valuations, Disclosures;IFRS17 TRN, Valuations, Disclosures;65000.0;Completed;2026-04-18 19:22:21
66;46;0478ETH30;11- 01_07_2024;IFRS17 TRN, Valuations, Disclosures;IFRS17 TRN, Valuations, Disclosures;60000.0;Completed;2026-04-18 19:22:21
67;46;0478ETH30;11- 8_11_2023;IFRS17 TRN, Valuations, Disclosures;IFRS17 TRN, Valuations, Disclosures;45000.0;Completed;2026-04-18 19:22:21
68;47;0478ZET30;01;Tool development;Tool development;0.0;Active;2026-04-18 19:22:21
69;48;0478MOO78;01;Audit Support-Asomic & KLPP;Actuarial Review: IFRS17 subsequent valuations & SII/IFRS4 (2023-2025) – Subcontractor Agreement;0.0;Completed;2026-04-18 19:22:21
70;49;0478BAK78;02;Audit Support-GAN;Actuarial Review: IFRS17 subsequent valuations & SII/IFRS4 (2023-2025) – Subcontractor Agreement;0.0;Active;2026-04-18 19:22:21
